#t[s] #S1[m] #S2[m]
12.03 127.54 64.26
12.04 127.91 63.38
12.05 128.45 62.51
12.06 128.82 61.66
12.07 129.01 60.58
12.08 129.38 59.69
12.09 129.62 58.88
12.1 130.05 58.11
12.11 130.30 57.20
12.12 130.54 56.32
12.13 130.71 55.43
12.14 131.11 54.63
12.15 131.14 53.88
12.16 131.28 52.82
12.17 131.40 52.37
12.18 131.79 51.44
12.19 131.61 50.53
12.2 131.71 49.75
12.21 132.18 48.92
12.22 132.20 48.21
12.23 132.11 47.38
12.24 132.44 46.69
12.25 132.05 46.11
12.26 132.40 45.61
12.27 132.47 44.92
12.28 132.51 44.49
12.29 132.35 43.86
12.3 132.68 43.49
12.31 132.75 43.05
12.32 132.78 42.93
12.33 132.83 42.33
12.34 132.91 42.63
12.35 132.85 42.19
12.36 133.03 42.19
12.37 132.85 42.39
12.38 133.02 42.74
12.39 133.10 42.70
12.4 133.21 43.06
12.41 133.33 43.48
12.42 133.11 44.11
12.43 133.57 44.57
12.44 133.72 45.39
12.45 133.98 45.87
12.46 134.14 46.93
12.47 134.37 47.64
12.48 134.34 48.86
12.49 134.58 49.88
12.5 134.83 51.20
